


         _+=+_
      .-`  .  `-.          8888888b.  8888888b.   .d88888b.   .d8888b.
   _+`     "     `+_       888   Y88b 888   Y88b d88P" "Y88b d88P  Y88b
  \\\sssssssssssss///      888    888 888    888 888     888 Y88b.
     .ss\  *  /ss.         888   d88P 888   d88P 888     888  "Y888b.
 .+bm  .s  *  s.  md+.     8888888P"  8888888P"  888     888     "Y88b.
.hMMMMs .  *  . sMMMMh.    888        888 T88b   888     888       "888
 `\hMMMb \ | / dMMMh:      888        888  T88b  Y88b. .d88P Y88b  d88P
   -SNMNo  -  oNMNs-       888        888   T88b  "Y88888P"   "Y8888P"
     `+dMh\./dMd/
        `:yNy:`                      Powered by PROS for VEX V5
           "                Copyright (c) Purdue University ACM SIGBots
Version:        3.6.0     Platform:  V1.1.1 (b25)     Uptime:    0.000 s
Compiled:   May 26 2022 12:09:46     Directory:  ome/aj/vexcode/aj-code


time (ms), velocity (RPM), voltage (mV), current(mA), power (W), temperature (deg C), torque (Nm)
1245540515840002048.000000, 102.200000, 9111, 1483, 6.438837, 40.000000, 0.601741
1288490188800002048.000000, 110.333333, 9154, 1470, 6.882411, 40.000000, 0.595782
1331439861760002048.000000, 107.666667, 9147, 1455, 6.642108, 40.000000, 0.589221
1374389534720002048.000000, 101.000000, 9104, 1462, 6.265937, 40.000000, 0.592540
1417339207680002048.000000, 103.533333, 9104, 1473, 6.475567, 40.000000, 0.597380
1460288880640002048.000000, 110.000000, 9141, 1460, 6.811778, 40.000000, 0.591454
1503238553600002048.000000, 106.066667, 9141, 1448, 6.509570, 40.000000, 0.586174
1546188226560002048.000000, 103.000000, 9123, 1468, 6.417343, 40.000000, 0.595074
1589137899520002048.000000, 101.666667, 9104, 1471, 6.349448, 40.000000, 0.596500
1632087572480002048.000000, 104.533333, 9135, 1453, 6.439909, 40.000000, 0.588408
1675037245440002048.000000, 106.933333, 9147, 1441, 6.527901, 40.000000, 0.583061
1717986918400002048.000000, 108.933333, 9147, 1442, 6.655012, 40.000000, 0.583501
1760936591360002048.000000, 102.866667, 9049, 1434, 6.252356, 40.000000, 0.580527
1803886264320002048.000000, 104.066667, 9123, 1427, 6.287241, 40.000000, 0.577034
1846835937280002048.000000, 110.600000, 9160, 1410, 6.592950, 40.000000, 0.569348
1889785610240002048.000000, 110.000000, 9160, 1401, 6.511577, 40.000000, 0.565388
1932735283200002048.000000, 104.600000, 9129, 1407, 6.222722, 40.000000, 0.568201
1975684956160002048.000000, 108.266667, 9147, 1415, 6.479618, 40.000000, 0.571621
2018634629120002048.000000, 108.866667, 9160, 1401, 6.444488, 40.000000, 0.565388
2061584302080002048.000000, 105.666667, 9061, 1399, 6.251429, 40.000000, 0.565060
2104533975040002048.000000, 105.200000, 9123, 1414, 6.292709, 40.000000, 0.571314
2147483648000002048.000000, 107.333333, 9067, 1410, 6.404047, 40.000000, 0.569867
2190433320960002048.000000, 111.333333, 9147, 1393, 6.550318, 40.000000, 0.561941
2233382993920002048.000000, 111.533333, 9178, 1384, 6.513825, 40.000000, 0.557808
2276332666880002048.000000, 106.533333, 9074, 1378, 6.198831, 40.000000, 0.555748
2319282339840002048.000000, 107.533333, 9123, 1378, 6.253943, 40.000000, 0.555474
2362232012800002048.000000, 111.200000, 9166, 1370, 6.423417, 40.000000, 0.551715
2405181685760002048.000000, 111.266667, 9172, 1369, 6.421753, 40.000000, 0.551241
2448131358720002048.000000, 104.133333, 9111, 1383, 6.080920, 40.000000, 0.557741
2491081031680002048.000000, 108.466667, 9154, 1400, 6.416192, 40.000000, 0.564982
2534030704640002048.000000, 112.933333, 9191, 1380, 6.573921, 40.000000, 0.555975
2576980377600002048.000000, 110.466667, 9104, 1352, 6.293451, 40.000000, 0.544140
2619930050560002048.000000, 106.266667, 9061, 1355, 6.071524, 40.000000, 0.545700
2662879723520002048.000000, 109.666667, 9129, 1356, 6.266483, 40.000000, 0.545761
2705829396480002048.000000, 110.333333, 9092, 1328, 6.164640, 40.000000, 0.533647
2748779069440002048.000000, 112.533333, 9098, 1320, 6.245693, 40.000000, 0.530094
2791728742400002048.000000, 109.266667, 9067, 1331, 6.121737, 40.000000, 0.535107
2834678415360002048.000000, 108.466667, 9135, 1345, 6.142568, 40.000000, 0.540888
2877628088320002048.000000, 112.133333, 9178, 1330, 6.269915, 40.000000, 0.534048
2920577761280002048.000000, 114.400000, 9117, 1310, 6.295324, 40.000000, 0.525588
